,Type,Gender,FurLength,healthcat,statecat,MaturitySizecat,Photocat,quantitycat,paidcat,Target
0,2,1,1,0,1,0,1,0,1,2
1,2,1,2,0,0,1,2,0,0,0
2,1,1,2,1,1,1,5,0,0,3
3,1,2,1,1,0,1,5,0,1,2
4,1,1,1,0,1,1,3,0,0,2
5,2,2,1,0,1,1,2,0,0,2
6,2,1,2,0,1,1,3,0,1,1
7,1,2,1,0,1,1,5,1,0,3
8,2,2,2,0,1,1,5,0,0,1
9,2,2,2,0,1,1,2,0,0,4
10,1,1,1,0,0,1,5,0,0,1
11,2,2,2,1,1,0,2,0,1,1
12,1,1,2,1,1,1,1,0,0,2
13,2,3,2,0,1,0,1,1,0,1
14,1,2,2,0,0,1,2,0,0,2
15,1,1,2,0,1,1,2,0,0,4
16,2,2,1,1,1,0,1,0,0,3
17,1,2,1,0,0,1,2,0,1,4
18,1,2,1,0,0,1,5,0,0,2
19,2,3,1,0,1,0,1,1,0,4
20,1,2,2,0,1,1,5,0,0,2
21,1,2,1,0,1,1,4,1,0,4
22,2,3,2,0,0,1,0,1,0,4
23,1,2,2,1,1,1,0,0,0,4
24,2,1,1,0,0,0,5,0,0,1
25,2,1,2,1,1,0,3,0,0,2
26,2,1,2,0,0,1,5,0,0,1
27,2,2,1,0,1,1,2,0,0,2
28,1,1,1,1,1,0,0,0,1,3
29,2,2,1,0,0,0,1,0,0,2
30,1,3,2,1,1,0,4,1,0,3
31,2,1,1,0,0,0,1,0,0,1
32,1,1,1,1,1,1,1,1,0,4
33,2,2,1,0,1,0,5,1,0,3
34,2,2,1,1,0,0,4,0,1,4
35,2,2,2,0,1,1,4,0,0,1
36,2,2,2,1,1,1,2,1,0,4
37,2,2,2,0,1,0,3,0,0,1
38,1,1,1,0,0,1,3,0,0,1
39,1,1,2,1,1,1,1,0,0,3
40,2,2,2,0,1,1,5,0,0,3
41,2,3,1,0,1,0,1,1,0,2
42,2,2,2,0,1,1,1,1,0,1
43,1,1,1,1,0,1,5,0,0,3
44,1,1,2,0,0,1,2,0,0,4
45,1,1,1,0,1,1,5,1,0,4
46,2,1,2,1,1,0,5,0,0,3
47,1,2,1,1,1,1,3,0,0,4
48,1,3,1,0,1,1,3,1,0,3
49,2,1,2,1,1,0,3,0,0,2
50,1,2,2,0,1,1,5,1,0,3
51,2,1,1,1,0,1,1,0,1,4
52,1,1,1,1,1,1,3,0,0,3
53,1,2,2,1,1,1,4,1,0,4
54,1,2,1,0,1,0,0,0,0,3
55,2,3,2,1,0,0,5,1,0,2
56,2,1,1,0,1,1,3,0,1,4
57,1,2,2,1,1,1,2,0,0,2
