,Type,Gender,FurLength,healthcat,statecat,MaturitySizecat,Photocat,quantitycat,paidcat,Target
0,2,1,1,0,1,0,1,0,1,1
1,2,1,2,0,0,1,2,0,0,1
2,1,1,2,1,1,1,5,0,0,1
3,1,2,1,1,0,1,5,0,1,1
4,1,1,1,0,1,1,3,0,0,1
5,2,2,1,0,1,1,2,0,0,1
6,2,1,2,0,1,1,3,0,1,1
7,1,2,1,0,1,1,5,1,0,1
8,2,2,2,0,1,1,5,0,0,1
9,2,2,2,0,1,1,2,0,0,0
10,1,1,1,0,0,1,5,0,0,1
11,2,2,2,1,1,0,2,0,1,1
12,1,1,2,1,1,1,1,0,0,1
13,2,3,2,0,1,0,1,1,0,1
14,1,2,2,0,0,1,2,0,0,1
15,1,1,2,0,1,1,2,0,0,0
16,2,2,1,1,1,0,1,0,0,1
17,1,2,1,0,0,1,2,0,1,0
18,1,2,1,0,0,1,5,0,0,1
19,2,3,1,0,1,0,1,1,0,0
20,1,2,2,0,1,1,5,0,0,1
21,1,2,1,0,1,1,4,1,0,0
22,2,3,2,0,0,1,0,1,0,0
23,1,2,2,1,1,1,0,0,0,0
24,2,1,1,0,0,0,5,0,0,1
25,2,1,2,1,1,0,3,0,0,1
26,2,1,2,0,0,1,5,0,0,1
27,2,2,1,0,1,1,2,0,0,1
28,1,1,1,1,1,0,0,0,1,1
29,2,2,1,0,0,0,1,0,0,1
30,1,3,2,1,1,0,4,1,0,1
31,2,1,1,0,0,0,1,0,0,1
32,1,1,1,1,1,1,1,1,0,0
33,2,2,1,0,1,0,5,1,0,1
34,2,2,1,1,0,0,4,0,1,0
35,2,2,2,0,1,1,4,0,0,1
36,2,2,2,1,1,1,2,1,0,0
37,2,2,2,0,1,0,3,0,0,1
38,1,1,1,0,0,1,3,0,0,1
39,1,1,2,1,1,1,1,0,0,1
40,2,2,2,0,1,1,5,0,0,1
41,2,3,1,0,1,0,1,1,0,1
42,2,2,2,0,1,1,1,1,0,1
43,1,1,1,1,0,1,5,0,0,1
44,1,1,2,0,0,1,2,0,0,0
45,1,1,1,0,1,1,5,1,0,0
46,2,1,2,1,1,0,5,0,0,1
47,1,2,1,1,1,1,3,0,0,0
48,1,3,1,0,1,1,3,1,0,1
